index,cntry_name,cntry_iso,catalog_id,id_number,latitude,longitude,flr_volume,avg_temp,ellip,dtc_freq,clr_obs,flr_type,queue
2723,United States,USA,USA_UPS_2015_103.8966W_32.1241N_v0.2,1302,32.124095,-103.896581,0.011626371,1900.63,2.16887,43.0108,279,upstream,True
2724,China,CHN,CHN_UPS_2019_81.7843E_41.8354N_v0.2,7670,41.835361,81.784275,0.011624082,1490.87,0.417295,75.3906,256,upstream,True
2725,Russian Federation,RUS,RUS_UPS_2019_72.8332E_59.0399N_v0.2,7137,59.039917,72.833235,0.011624023,1831.84,1.50435,33.4437,302,upstream,True
2726,Venezuela,VEN,VEN_UPS_2018_63.5223W_9.7660N_v0.2,3629,9.766013,-63.522319,0.011621792,1901.68,2.22788,62.0536,224,upstream,True
2727,United States,USA,USA_UPS_2015_104.1878W_32.3350N_v0.2,1092,32.334996,-104.187835,0.011606969,1823.0,0.823734,45.2471,263,upstream,True
2728,United States,USA,USA_UPS_2015_104.0935W_32.1659N_v0.2,1147,32.165864,-104.093502,0.011603212,1941.7,1.52498,43.5606,264,upstream,True
2729,China,CHN,CHN_UPS_2018_81.8458E_41.2984N_v0.2,7672,41.298392,81.845801,0.011601304,1660.97,1.17093,65.0794,252,upstream,True
2730,United States,USA,USA_UPS_2015_102.7503W_48.2294N_v0.2,769,48.229357,-102.750309,0.011599572,1755.46,2.38507,26.6447,304,upstream,True
2731,Syria,SYR,SYR_UPS_2015_41.0462E_36.1658N_v0.2,5952,36.165765,41.046222,0.011599454,1840.4,1.83191,63.3609,363,upstream,True
2732,Russian Federation,RUS,RUS_UPS_2015_55.3500E_54.7428N_v0.2,5752,54.742838,55.350026,0.011594582,1819.67,2.53734,53.527,241,upstream,True
2733,United States,USA,USA_UPS_2018_103.9757W_31.6247N_v0.2,1247,31.624692,-103.975661,0.011587713,1884.49,3.04371,50.6993,286,upstream,True
2734,Japan,JPN,JPN_DNS_2015_140.0349E_35.4912N_v0.2,9637,35.491153,140.034859,0.011580522,1774.48,1.98065,53.3333,210,refinery,True
2735,Russian Federation,RUS,RUS_UPS_2015_56.4993E_65.1610N_v0.2,5306,65.161001,56.49927,0.01154521,1875.18,1.56976,43.9344,305,upstream,True
2736,Russian Federation,RUS,RUS_UPS_2015_50.8434E_53.4209N_v0.2,5569,53.42092,50.843358,0.011541864,1890.74,1.90043,36.6438,292,upstream,True
2737,Mexico,MEX,MEX_UPS_2019_97.7025W_20.6490N_v0.2,3129,20.648977,-97.702485,0.011541423,1869.51,1.46286,56.2162,185,upstream,True
2738,Venezuela,VEN,VEN_UPS_2015_63.5686W_9.7022N_v0.2,3613,9.702157,-63.568572,0.011537226,2051.21,3.67039,45.4936,233,upstream,True
2739,Russian Federation,RUS,RUS_DNS_2015_65.7466E_57.0910N_v0.2,7630,57.091003,65.74656,0.011536492,1990.21,1.49304,41.1565,294,refinery,True
2740,United States,USA,USA_UPS_2015_102.6286W_47.7012N_v0.2,848,47.701179,-102.628575,0.011531942,1918.02,1.27501,48.8136,295,upstream,True
2741,China,CHN,CHN_UPS_2015_83.6961E_41.1645N_v0.2,7761,41.164516,83.696124,0.011514125,1767.32,2.15071,44.4898,245,upstream,True
2742,Indonesia,IDN,IDN_UPS_2015_111.9692E_7.1077S_v0.2,9356,-7.107717,111.969178,0.011513538,1924.38,2.25675,53.0488,164,upstream,True
2743,Gabon,GAB,GAB_UPS_2015_09.0586E_1.3670S_v0.2,5106,-1.367003,9.058613,0.011502707,1758.35,2.27635,58.3333,96,upstream,True
2744,United States,USA,USA_UPS_2017_103.1447W_31.9315N_v0.2,1839,31.931544,-103.144662,0.011497042,1906.25,2.5108,59.9265,272,upstream,True
2745,Indonesia,IDN,IDN_UPS_2015_117.4983E_0.6905S_v0.2,9413,-0.690452,117.498265,0.011485976,1815.83,4.35682,64.7482,139,upstream,True
2746,Mexico,MEX,MEX_UPS_2015_97.3808W_20.6198N_v0.2,3144,20.619834,-97.380751,0.011484068,1914.55,2.50292,46.6667,180,upstream,True
2747,Syria,SYR,SYR_UPS_2018_40.8180E_36.1185N_v0.2,5946,36.118469,40.818037,0.011468217,1777.9,1.51795,57.4468,376,upstream,True
2748,United States,USA,USA_UPS_2015_101.7108W_31.7497N_v0.2,2264,31.749729,-101.710829,0.011463491,1854.56,1.29262,30.1038,289,upstream,True
2749,Algeria,DZA,DZA_UPS_2015_03.2113E_33.0231N_v0.2,4497,33.023107,3.211317,0.011447083,1825.74,1.72993,72.0867,369,upstream,True
2750,United States,USA,USA_UPS_2015_101.8948W_35.5360N_v0.2,2186,35.536026,-101.894769,0.011423953,1878.38,3.33121,9.63455,301,upstream,True
2751,United States,USA,USA_UPS_2019_101.8061W_31.6109N_v0.2,2224,31.610859,-101.806077,0.011406253,1865.25,1.85655,21.4765,298,upstream,True
2752,Libya,LBY,LBY_UPS_2015_09.9378E_28.8654N_v0.2,4685,28.86539,9.937822,0.011395715,1742.43,1.05548,30.6733,401,upstream,True
2753,Russian Federation,RUS,RUS_UPS_2015_110.8773E_59.7881N_v0.2,8256,59.788064,110.877336,0.011393103,1819.0,2.77386,60.2524,317,upstream,True
2754,Philippines,PHL,PHL_DNS_2015_120.6070E_14.5268N_v0.2,9643,14.526786,120.606993,0.011380628,1658.99,0.950746,47.0588,153,refinery,True
2755,Venezuela,VEN,VEN_UPS_2015_63.6040W_9.6131N_v0.2,3601,9.613073,-63.603973,0.011380041,2067.81,1.6015,46.383,235,upstream,True
2756,Brazil,BRA,BRA_UPS_2015_41.0739W_23.1356S_v0.2,4033,-23.135554,-41.073857,0.011376137,1768.81,1.53796,59.1346,208,upstream,True
2757,Ecuador,ECU,ECU_UPS_2015_76.8287W_0.3419S_v0.2,3734,-0.341859,-76.828665,0.011374376,1871.34,1.6015,45.4545,55,upstream,True
2758,Saudi Arabia,SAU,SAU_UPS_2015_49.3529E_25.1947N_v0.2,6390,25.194666,49.352873,0.011370061,1759.69,3.13723,61.1268,355,upstream,True
2759,Egypt,EGY,EGY_UPS_2015_33.2884E_28.1153N_v0.2,5884,28.115345,33.288404,0.011361372,1778.82,1.36549,54.9161,417,upstream,True
